Formula,Formulae_with_errors,Filename
3,0,./13_(number).html
1,0,./1995.html
19,0,./1_(number).html
0,0,./253_Mathilde.html
21,0,./2_(number).html
24,0,./2D_computer_graphics.html
41,0,./3-sphere.html
5,0,./61_Cygni.html
3,0,./A-law_algorithm.html
3,0,./Abbe_number.html
126,0,./Abductive_reasoning.html
11,0,./Abelian_category.html
9,0,./Abelian_group.html
54,0,./Aberration_of_light.html
2,0,./Abraham_de_Moivre.html
1,0,./Abscissa.html
55,0,./Absolute_convergence.html
59,0,./Absolute_magnitude.html
145,0,./Absolute_value.html
2,0,./Absolute_zero.html
23,0,./Accelerating_universe.html
36,0,./Acceleration.html
6,0,./Accuracy_and_precision.html
1,0,./Acetylene.html
5,0,./Acid.html
20,0,./Acid_dissociation_constant.html
33,0,./Ackermann_function.html
102,0,./Acoustic_theory.html
29,0,./Actinide.html
8,0,./Actinium.html
4,0,./Activation_energy.html
46,0,./Active_laser_medium.html
8,0,./Adaptive_expectations.html
74,0,./Adder–subtractor.html
28,0,./Addition.html
51,0,./Additive_category.html
45,0,./Additive_synthesis.html
3,0,./Adenosine_triphosphate.html
87,0,./Adiabatic_process.html
134,0,./Adjoint_functors.html
4,0,./Advanced_Encryption_Standard.html
46,0,./Aerosol.html
61,0,./Affine_transformation.html
1,0,./Affirming_the_consequent.html
12,0,./AI-complete.html
9,0,./Albedo.html
16,0,./Alcubierre_drive.html
46,0,./Alexandroff_extension.html
13,0,./Algebraic_closure.html
1,0,./Algebraic_extension.html
19,0,./Algebraic_geometry.html
35,0,./Algebraic_number.html
2,0,./Algebraically_closed_field.html
105,0,./Algorithms_for_calculating_variance.html
1,0,./Alkyne.html
104,0,./Allan_variance.html
5,0,./Allele.html
1,0,./Almost_all.html
4,0,./Almost_everywhere.html
1,0,./Alpha_Centauri.html
40,0,./Alpha_compositing.html
2,0,./Alpha_decay.html
9,0,./Alpha_helix.html
34,0,./Alternating_current.html
39,0,./Alternating_group.html
27,0,./Alternative_algebra.html
1,0,./Altimeter.html
56,0,./Ambiguity.html
29,0,./Amdahl's_law.html
22,0,./Americium.html
7,0,./Amicable_numbers.html
1,0,./Amide.html
2,0,./Ampere.html
5,0,./Amplitude.html
11,0,./Amplitude_modulation.html
8,0,./Analog-to-digital_converter.html
6,0,./Analogy_of_the_Divided_Line.html
28,0,./Analysis_of_algorithms.html
21,0,./Analysis_of_variance.html
5,0,./Analytic_function.html
139,0,./Analytic_geometry.html
7,0,./Analytical_chemistry.html
1,0,./Ancient_Greek_architecture.html
