Correct,Errors,ArchiveFile
1969,29,wp0000207
1994,6,wp0000029
1978,22,wp0000129
1962,38,wp0000138
1999,1,wp0000025
1952,47,wp0000095
1984,16,wp0000112
1997,3,wp0000023
1957,43,wp0000239
1978,22,wp0000240
1967,33,wp0000230
1970,30,wp0000241
1979,21,wp0000250
1945,54,wp0000256
1973,27,wp0000311
1986,14,wp0000315
1980,19,wp0000399
1973,27,wp0000381
1968,31,wp0000332
1989,9,wp0000500
1987,12,wp0000490
1981,19,wp0000615
1989,11,wp0000453
1981,19,wp0000618
1980,20,wp0000761
1992,8,wp0000704
1993,7,wp0000721
1972,28,wp0000676
1991,9,wp0000778
1990,10,wp0000800
1987,12,wp0000750
1951,49,wp0000808
1990,10,wp0000868
1985,15,wp0000811
1976,23,wp0000810
1983,17,wp0000849
1989,11,wp0000831
1985,15,wp0000902
1985,15,wp0000913
1990,10,wp0000976
1991,8,wp0001033
1985,14,wp0001047
1990,10,wp0001065
1991,8,wp0001046
1982,18,wp0001134
1992,7,wp0001118
1972,28,wp0001090
1993,7,wp0001142
1982,18,wp0001157
1982,18,wp0001233
1963,13,wp0001253
1988,11,wp0001295
1978,20,wp0001266
1989,9,wp0001299
1990,10,wp0001302
1995,5,wp0001396
1980,20,wp0001399
1977,23,wp0001406
1988,12,wp0001403
1982,18,wp0001421
1994,5,wp0001413
1991,9,wp0001442
1993,7,wp0001484
1999,1,wp0001552
1998,2,wp0001617
1999,1,wp0001618
1990,10,wp0001559
1996,4,wp0001572
1999,1,wp0001655
1986,13,wp0001623
1993,7,wp0001659
1984,14,wp0001664
1988,12,wp0001726
1980,20,wp0001751
1994,5,wp0001738
1986,14,wp0001781
1993,7,wp0001971
1981,19,wp0001815
1988,12,wp0001994
1983,16,wp0002018
1989,11,wp0002019
1979,21,wp0002101
1980,20,wp0002034
1992,8,wp0002087
1984,15,wp0002154
1996,4,wp0002106
1987,13,wp0002238
1988,12,wp0002272
1994,6,wp0002323
1995,5,wp0002316
1999,1,wp0002460
1993,6,wp0002343
1988,12,wp0002405
1997,3,wp0002465
1992,8,wp0002480
1992,8,wp0002363
1992,8,wp0002502
1989,11,wp0002496
1997,3,wp0002514
1992,8,wp0002551
1981,18,wp0002493
1986,12,wp0002609
1993,6,wp0002676
1993,7,wp0002725
1990,10,wp0002765
1991,9,wp0002784
1990,9,wp0002879
1982,18,wp0002917
1974,26,wp0002920
1993,6,wp0002922
1992,8,wp0002955
1994,6,wp0002973
1990,10,wp0003023
1989,10,wp0003057
1986,14,wp0003124
1993,7,wp0003134
1992,8,wp0003150
1992,7,wp0003167
1993,7,wp0003190
1987,13,wp0003195
1987,13,wp0003310
1973,27,wp0003341
1987,12,wp0003227
1991,9,wp0003283
1985,15,wp0003356
1969,31,wp0003361
1985,15,wp0003443
1982,17,wp0003466
1995,5,wp0003470
1987,13,wp0003535
1981,19,wp0003489
1980,19,wp0003541
1981,18,wp0003511
1995,5,wp0003624
1989,11,wp0003679
1985,15,wp0003701
1982,16,wp0003702
1989,11,wp0003714
1985,15,wp0003750
1988,11,wp0003722
1998,2,wp0003764
1976,24,wp0003769
1983,16,wp0003801
1994,6,wp0003838
285925,2007,TOTAL
